H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;0;1;178,28;325,01
S;0;1;179,43;327,84
S;0;1;180,54;330,68
S;0;1;181,64;333,52
S;0;1;182,73;336,37
S;0;1;183,83;339,22
S;0;1;184,93;342,06
S;0;1;186,07;344,89
S;0;1;187,24;347,71
S;0;1;188,46;350,51
S;0;1;189,74;353,27
S;0;1;191,09;356,01
S;0;1;192,53;358,70
S;0;1;194,07;361,33
S;0;1;195,73;363,89
S;0;1;197,51;366,37
S;0;1;199,43;368,73
S;0;1;201,50;370,98
S;0;1;203,72;373,06
S;0;1;206,09;374,98
S;0;1;208,61;376,70
S;0;1;211,26;378,20
S;0;1;214,03;379,48
S;0;1;216,89;380,54
S;0;1;219,82;381,38
S;0;1;222,81;382,00
S;0;0;158,67;271,17
S;0;0;161,48;272,22
S;0;0;164,23;273,41
S;0;0;166,92;274,73
S;0;0;169,54;276,17
S;0;0;172,10;277,72
S;0;0;174,60;279,38
S;0;0;177,03;281,13
S;0;0;179,40;282,96
S;0;0;181,71;284,87
S;0;0;183,97;286,84
S;0;0;186,18;288,85
S;0;0;188,36;290,91
S;0;0;190,51;293,00
S;0;0;192,64;295,11
S;0;0;194,75;297,23
S;0;0;194,89;299,95
S;0;0;194,00;302,80
S;0;0;192,79;305,54
S;0;0;191,33;308,16
S;0;0;189,68;310,66
S;0;0;187,89;313,06
S;0;0;186,02;315,40
S;0;0;184,11;317,71
S;0;0;182,21;320,02
S;0;0;180,37;322,39
S;0;0;178,51;324,74
S;0;0;176,58;327,03
S;0;0;174,60;329,28
S;0;0;172,58;331,49
S;0;0;170,53;333,67
S;0;0;168,45;335,83
S;0;0;166,35;337,97
S;0;0;164,23;340,08
S;0;0;162,09;342,18
S;0;0;159,93;344,25
S;0;0;157,75;346,31
S;0;0;155,55;348,35
S;0;0;153,34;350,37
S;0;0;151,12;352,37
S;0;0;148,87;354,36
S;0;0;146,61;356,33
S;0;0;144,34;358,28
S;0;0;142,05;360,21
S;0;0;139,74;362,12
S;0;0;137,41;364,00
S;0;0;135,07;365,87
S;0;0;132,70;367,71
S;0;0;130,32;369,52
S;0;0;127,91;371,30
S;0;0;125,48;373,06
S;0;0;123,02;374,77
S;0;0;120,53;376,44
S;0;0;118,02;378,07
S;0;0;115,46;379,63
S;0;0;112,87;381,13
S;0;0;110,23;382,54
S;0;0;107,53;383,85
S;0;0;104,77;385,00
S;0;0;101,93;385,95
S;0;0;99,00;386,56
S;0;0;96,01;386,75
S;0;0;93,03;386,49
S;0;0;90,18;385,59
S;0;0;87,71;383,91
S;0;0;85,92;381,52
S;0;0;84,86;378,73
S;0;0;84,38;375,78
S;0;0;84,31;372,78
S;0;0;84,55;369,80
S;0;0;85,02;366,84
S;0;0;85,67;363,92
S;0;0;86,47;361,03
S;0;0;87,41;358,18
S;0;0;88,46;355,38
S;0;0;89,63;352,62
S;0;0;90,94;349,93
S;0;0;92,30;347,26
S;0;0;93,68;344,60
S;0;0;95,09;341,95
S;0;0;96,52;339,32
S;0;0;97,97;336,70
S;0;0;99,45;334,10
S;0;0;100,96;331,51
S;0;0;102,50;328,94
S;0;0;104,06;326,38
S;0;0;105,66;323,85
S;0;0;107,29;321,33
S;0;0;108,95;318,84
S;0;0;110,64;316,37
S;0;0;112,37;313,92
S;0;0;114,14;311,50
S;0;0;115,95;309,11
S;0;0;117,79;306,75
S;0;0;119,67;304,42
S;0;0;121,60;302,12
S;0;0;123,56;299,86
S;0;0;125,57;297,64
S;0;0;127,63;295,46
S;0;0;129,73;293,32
S;0;0;131,87;291,23
S;0;0;134,06;289,19
S;0;0;136,30;287,19
S;0;0;138,58;285,25
S;0;0;140,91;283,37
S;0;0;143,29;281,55
S;0;0;145,72;279,79
S;0;0;148,19;278,10
S;0;0;150,71;276,48
S;0;0;153,27;274,93
S;0;0;155,88;273,46
S;0;0;158,53;272,06
G;1;0000;b
S;1;1;104,94;341,78
S;1;1;107,24;339,85
S;1;1;109,52;337,90
S;1;1;111,78;335,93
S;1;1;114,04;333,95
S;1;1;116,28;331,96
S;1;1;118,52;329,96
S;1;1;120,76;327,97
S;1;1;123,00;325,97
S;1;1;125,25;323,98
S;1;1;127,50;321,99
S;1;1;129,76;320,02
S;1;1;132,03;318,06
S;1;1;134,31;316,11
S;1;1;136,62;314,19
S;1;1;138,94;312,29
S;1;1;141,28;310,41
S;1;1;143,65;308,57
S;1;1;146,04;306,76
S;1;1;148,46;304,99
S;1;1;150,92;303,26
S;1;1;153,40;301,59
S;1;1;155,93;299,96
S;1;1;158,49;298,40
S;1;1;161,09;296,91
S;1;1;163,73;295,49
S;1;1;166,42;294,15
S;1;1;169,15;292,90
S;1;1;171,92;291,75
S;1;1;174,73;290,71
S;1;1;177,59;289,79
S;1;1;180,48;289,00
S;1;1;183,41;288,34
S;1;1;186,36;287,83
