H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;0;3;69.15;328.36
S;0;3;72.12;328.78
S;0;3;75.09;329.10
S;0;3;78.08;329.37
S;0;3;81.07;329.59
S;0;3;84.06;329.79
S;0;3;87.05;329.97
S;0;3;90.04;330.13
S;0;3;93.03;330.27
S;0;3;96.02;330.40
S;0;3;99.02;330.52
S;0;3;102.01;330.63
S;0;3;105.00;330.73
S;0;3;108.00;330.83
S;0;3;110.99;330.91
S;0;3;113.99;330.99
S;0;3;116.98;331.07
S;0;3;119.98;331.13
S;0;3;122.97;331.20
S;0;3;125.97;331.25
S;0;3;128.97;331.30
S;0;3;131.96;331.35
S;0;3;134.96;331.39
S;0;3;137.95;331.43
S;0;3;140.95;331.46
S;0;3;143.94;331.49
S;0;3;146.94;331.52
S;0;3;149.94;331.54
S;0;3;152.93;331.55
S;0;3;155.93;331.56
S;0;3;158.92;331.57
S;0;3;161.92;331.57
S;0;3;164.91;331.57
S;0;3;167.91;331.56
S;0;3;170.91;331.55
S;0;3;173.90;331.53
S;0;3;176.90;331.51
S;0;3;179.89;331.48
S;0;3;182.89;331.44
S;0;3;185.89;331.40
S;0;3;188.88;331.34
S;0;3;191.88;331.28
S;0;3;194.87;331.20
S;0;3;197.86;331.10
S;0;3;200.86;330.98
S;0;3;203.85;330.83
S;0;3;206.84;330.66
S;0;3;209.83;330.52
S;0;3;212.83;330.39
S;0;3;215.82;330.27
S;0;3;218.82;330.17
S;0;3;221.81;330.07
S;0;3;224.80;329.98
S;0;3;227.80;329.90
S;0;3;230.79;329.81
S;0;3;233.79;329.73
S;0;3;236.78;329.64
S;0;3;239.78;329.54
S;0;3;242.77;329.43
S;0;3;245.76;329.32
S;0;3;248.76;329.19
S;0;3;251.75;329.04
S;0;3;254.74;328.87
S;0;3;257.73;328.68
S;0;3;260.72;328.47
S;0;3;263.71;328.23
S;0;3;266.69;327.96
S;0;3;269.67;327.66
S;0;2;99.73;254.07
S;0;2;102.70;254.36
S;0;2;105.67;254.52
S;0;2;108.65;254.64
S;0;2;111.63;254.73
S;0;2;114.61;254.79
S;0;2;117.59;254.85
S;0;2;120.57;254.89
S;0;2;123.55;254.93
S;0;2;126.53;254.95
S;0;2;129.51;254.97
S;0;2;132.49;254.99
S;0;2;135.47;255.00
S;0;2;138.45;255.01
S;0;2;141.43;255.01
S;0;2;144.41;255.01
S;0;2;147.39;255.00
S;0;2;150.37;254.99
S;0;2;153.35;254.98
S;0;2;156.33;254.96
S;0;2;159.31;254.94
S;0;2;162.29;254.92
S;0;2;165.27;254.90
S;0;2;168.25;254.87
S;0;2;171.23;254.85
S;0;2;174.21;254.81
S;0;2;177.20;254.78
S;0;2;180.18;254.74
S;0;2;183.16;254.71
S;0;2;186.14;254.66
S;0;2;189.12;254.62
S;0;2;192.10;254.57
S;0;2;195.08;254.52
S;0;2;198.06;254.47
S;0;2;201.04;254.41
S;0;2;204.02;254.35
S;0;2;206.99;254.29
S;0;2;209.97;254.22
S;0;2;212.95;254.15
S;0;2;215.93;254.07
S;0;2;218.91;253.98
S;0;2;221.89;253.89
S;0;2;224.87;253.78
S;0;2;227.85;253.65
S;0;2;230.82;253.50
S;0;2;233.80;253.30
S;0;2;236.77;253.10
S;0;2;239.74;252.89
S;0;2;242.72;252.69
S;0;2;245.69;252.48
S;0;2;248.67;252.28
S;0;2;251.64;252.09
S;0;2;254.61;251.90
S;0;2;257.59;251.72
S;0;2;260.56;251.54
S;0;2;263.54;251.38
S;0;2;266.52;251.22
S;0;2;269.49;251.08
S;0;2;272.47;250.95
S;0;2;275.45;250.83
S;0;2;278.43;250.73
S;0;2;281.41;250.64
S;0;2;284.39;250.58
S;0;2;287.37;250.52
S;0;2;290.35;250.49
S;0;2;293.33;250.48
S;0;2;296.31;250.48
S;0;2;299.29;250.51
S;0;2;302.27;250.55
S;0;1;290.19;127.43
S;0;1;289.38;130.32
S;0;1;288.53;133.20
S;0;1;287.64;136.07
S;0;1;286.71;138.93
S;0;1;285.76;141.77
S;0;1;284.77;144.61
S;0;1;283.75;147.43
S;0;1;282.71;150.25
S;0;1;281.64;153.05
S;0;1;280.55;155.85
S;0;1;279.44;158.64
S;0;1;278.31;161.42
S;0;1;277.16;164.20
S;0;1;276.00;166.97
S;0;1;274.83;169.73
S;0;1;273.64;172.49
S;0;1;272.45;175.25
S;0;1;271.25;178.00
S;0;1;270.05;180.75
S;0;1;268.85;183.50
S;0;1;267.64;186.25
S;0;1;266.44;189.00
S;0;1;265.24;191.76
S;0;1;264.05;194.51
S;0;1;262.86;197.27
S;0;1;261.69;200.03
S;0;1;260.58;202.82
S;0;1;259.52;205.64
S;0;1;258.52;208.46
S;0;1;257.55;211.30
S;0;1;256.60;214.16
S;0;1;255.68;217.01
S;0;1;254.77;219.87
S;0;1;253.85;222.73
S;0;1;252.93;225.59
S;0;1;251.98;228.44
S;0;1;251.01;231.28
S;0;1;249.99;234.11
S;0;1;248.93;236.92
S;0;1;247.82;239.70
S;0;1;246.64;242.47
S;0;1;245.42;245.21
S;0;1;244.15;247.93
