H;penstroke-edit;2;caveat_edit_subset fixing_2.cdr;464;564;0
G;0;0000;5
S;0;0;215.58;207.56
S;0;0;212.64;206.95
S;0;0;209.67;206.48
S;0;0;206.69;206.15
S;0;0;203.69;205.96
S;0;0;200.68;205.92
S;0;0;197.68;206.02
S;0;0;194.69;206.26
S;0;0;191.71;206.65
S;0;0;188.75;207.17
S;0;0;185.82;207.83
S;0;0;182.92;208.63
S;0;0;180.07;209.58
S;0;0;177.31;210.75
S;0;0;174.60;212.06
S;0;0;171.95;213.46
S;0;0;169.33;214.95
S;0;0;166.76;216.49
S;0;0;164.22;218.10
S;0;0;161.72;219.76
S;0;0;159.25;221.47
S;0;0;156.82;223.24
S;0;0;154.42;225.05
S;0;0;152.07;226.92
S;0;0;149.76;228.85
S;0;0;147.51;230.83
S;0;0;145.30;232.87
S;0;0;143.17;234.98
S;0;0;141.10;237.17
S;0;0;139.13;239.43
S;0;0;137.26;241.78
S;0;0;135.52;244.24
S;0;0;133.96;246.80
S;0;0;132.62;249.49
S;0;0;131.58;252.31
S;0;0;130.95;255.24
S;0;0;130.85;258.24
S;0;0;131.41;261.18
S;0;0;132.64;263.92
S;0;0;134.46;266.30
S;0;0;136.78;268.20
S;0;0;139.42;269.62
S;0;0;142.25;270.64
S;0;0;145.16;271.35
S;0;0;148.12;271.85
S;0;0;151.11;272.21
S;0;0;154.10;272.49
S;0;0;157.09;272.73
S;0;0;160.08;273.02
S;0;0;163.06;273.41
S;0;0;166.00;274.04
S;0;0;168.87;274.91
S;0;0;171.68;275.98
S;0;0;174.40;277.25
S;0;0;177.03;278.71
S;0;0;179.55;280.35
S;0;0;181.95;282.15
S;0;0;184.24;284.10
S;0;0;186.39;286.19
S;0;0;188.42;288.41
S;0;0;190.31;290.74
S;0;0;192.06;293.18
S;0;0;193.66;295.72
S;0;0;195.12;298.35
S;0;0;196.42;301.06
S;0;0;197.58;303.83
S;0;0;198.57;306.66
S;0;0;199.40;309.55
S;0;0;200.07;312.48
S;0;0;200.56;315.44
S;0;0;200.89;318.43
S;0;0;201.04;321.43
S;0;0;201.04;324.43
S;0;0;200.88;327.43
S;0;0;200.56;330.42
S;0;0;200.08;333.39
S;0;0;199.45;336.32
S;0;0;198.68;339.23
S;0;0;197.77;342.09
S;0;0;196.73;344.91
S;0;0;195.56;347.68
S;0;0;194.27;350.39
S;0;0;192.86;353.04
S;0;0;191.34;355.63
S;0;0;189.72;358.16
S;0;0;188.00;360.62
S;0;0;186.18;363.02
S;0;0;184.27;365.34
S;0;0;182.28;367.58
S;0;0;180.20;369.75
S;0;0;178.04;371.84
S;0;0;175.81;373.85
S;0;0;173.50;375.78
S;0;0;171.13;377.62
S;0;0;168.69;379.38
S;0;0;166.19;381.04
S;0;0;163.63;382.61
S;0;0;161.01;384.08
S;0;0;158.34;385.45
S;0;0;155.61;386.72
S;0;0;152.84;387.87
S;0;0;150.02;388.92
S;0;0;147.16;389.84
S;0;0;144.27;390.65
S;0;0;141.34;391.32
S;0;0;138.39;391.86
S;0;0;135.41;392.27
S;0;0;132.42;392.53
S;0;0;129.41;392.64
S;0;0;126.41;392.59
S;0;0;123.41;392.40
S;0;0;120.43;392.04
S;0;0;117.47;391.51
S;0;0;114.55;390.83
S;0;0;111.67;389.97
